"tweet","text","location"
1,"Full #AuditTheVotes","Pennsylvania"
2,"A bunch of trouble-seeking extremists congregating in D.C., at the urging of the president of the United States.
The president continues to spread conspiracy theories delegitimizing the election.
The president planning more wildly irresponsible personnel moves.
I remain alarmed.","Pennsylvania"
3,"I am worried too","Pennsylvania"
4,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Pennsylvania"
5,"@WomanResistorNC Dear Georgia:

Make a plan NOW to #Vote for @ReverendWarnock &amp; @Ossoff for U.S. Senate.

Dec 7: Voter Registration Deadline
Dec 14: Early Voting Begins
Jan 5: Election Day

Register to vote here: https://t.co/oHtiw6ONY7

Donate to both here: https://t.co/oRWcOkhT1C https://t.co/gtfpojzslm","Pennsylvania"
6,"Mike Lindell Leads Powerful Prayer At #MarchForTrump In DC: ""Please reveal all the corruption and fraud in this election and show everyone your will” [VIDEO] via @gatewaypundit https://t.co/sPBv8LdC0S","Pennsylvania"
7,"@Slate Trump continues to fight. He won 2016 election despite being illegally spied on. Then he fought the Russian hoax &amp; the corrupt media. Next he survived impeachment. Then he survived covid and the pandemic. Now he is fighting for a fair 2020 election. MAGA nation stands with DJT!","Pennsylvania"
8,"@thedailybeast Trump continues to fight. He won 2016 election despite being illegally spied on. Then he fought the Russian hoax &amp; the corrupt media. Next he survived impeachment. Then he survived covid and the pandemic. Now he is fighting for a fair 2020 election. MAGA nation stands with DJT!","Pennsylvania"
9,"@TorontoStar @jscheier Trump continues to fight. He won 2016 election despite being illegally spied on. Then he fought the Russian hoax &amp; the corrupt media. Next he survived impeachment. Then he survived covid and the pandemic. Now he is fighting for a fair 2020 election. MAGA nation stands with DJT!","Pennsylvania"
10,"@CTVNews Trump continues to fight. He won 2016 election despite being illegally spied on. Then he fought the Russian hoax &amp; the corrupt media. Next he survived impeachment. Then he survived covid and the pandemic. Now he is fighting for a fair 2020 election. MAGA nation stands with DJT!","Pennsylvania"
11,"@JohnKingCNN @kaitlancollins @asmamk @jmartNYT @shearm Trump continues to fight. He won 2016 election despite being illegally spied on. Then he fought the Russian hoax &amp; the corrupt media. Next he survived impeachment. Then he survived covid and the pandemic. Now he is fighting for a fair 2020 election. MAGA nation stands with DJT!","Pennsylvania"
12,"@MSNBC @AriMelber Trump continues to fight. He won 2016 election despite being illegally spied on. Then he fought the Russian hoax &amp; the corrupt media. Next he survived impeachment. Then he survived covid and the pandemic. Now he is fighting for a fair 2020 election. MAGA nation stands with DJT!","Pennsylvania"
13,"@CNNPolitics Trump continues to fight. He won 2016 election despite being illegally spied on. Then he fought the Russian hoax &amp; the corrupt media. Next he survived impeachment. Then he survived covid and the pandemic. Now he is fighting for a fair 2020 election. MAGA nation stands with DJT!","Pennsylvania"
14,"@CBSNews Trump continues to fight. He won 2016 election despite being illegally spied on. Then he fought the Russian hoax &amp; the corrupt media. Next he survived impeachment. Then he survived covid and the pandemic. Now he is fighting for a fair 2020 election. MAGA nation stands with DJT!","Pennsylvania"
15,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Pennsylvania"
16,"💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙","Pennsylvania"
17,"and they’re trying to tell us he lost this election? Give me a fuggin break","Pennsylvania"
18,"Amazing","Pennsylvania"
19,"Trump targeted Philadelphia, knowing its voters could swing the election. And they did. https://t.co/mV0fvq01z5 by @paulabowd, @akela_lacy It's Over; tRump Loser, Biden Winner! #306ElectoralVotes","Pennsylvania"
20,"Pennsylvania’s anti-Trump Secretary of State says “no recount”!

Meanwhile, she has been rebuked by courts for unconstitutionally interfering in the election process. 

She oversaw an election beset by equal protection violations!

Litigation continues‼️","Pennsylvania"
21,"John Podesta
Donna Brazille
Smartmatic
and
Georgia Soros.

Who would have thought it?

Lesson learned in 2016 after computer scheme fell short.

They added ballots by mail.

Didn’t work in 2016. Won’t work in 2020.

Did work in 2018 midterms. @realDonaldTrump not on ballot.","Pennsylvania"
22,"Amazing","Pennsylvania"
23,"Our investigation of voter rolls nationwide turned up 2.5M extra names. Our analysis of data from the U.S Election Assistance Commission found 378 counties that had a combined 2.5 million more voter registrations than citizens old enough to vote. Read: https://t.co/r1MSteTDMm","Pennsylvania"
24,"ツイッター社はどういうファクトチェックをしているのかな？

同じ事を弁護士が語ってもお説教はつけないのに。 https://t.co/D2KwSWcwbL","Pennsylvania"
25,"There is tremendous evidence of wide spread voter fraud in that there is irrefutable proof that our Republican poll watchers and observers were not allowed to be present in poll counting rooms. Michigan, Pennsylvania, Georgia and others. Unconstitutional!","Pennsylvania"
26,"「トランプ大統領はヴァージニアにあるゴルフ場へと向かう途中、選挙結果に抗議する支持者達の前へ顔を見せた」

と分断・対立を必死で煽るNYTが悶絶憤慨涙目報道。

日本のパンケーキやホテル朝食報道にも見られる記者の妬み嫉みが心地良い。

https://t.co/ELhzpZ9KVV","Pennsylvania"
27,"トランプ大統領頑張れ！
🚩😃🚩 https://t.co/jITW4IxRwW","Pennsylvania"
28,"There is tremendous evidence of wide spread voter fraud in that there is irrefutable proof that our Republican poll watchers and observers were not allowed to be present in poll counting rooms. Michigan, Pennsylvania, Georgia and others. Unconstitutional!","Pennsylvania"
29,"@realDonaldTrump https://t.co/7RLDEsIoYI","Pennsylvania"
30,"@realDonaldTrump https://t.co/NiisxtxtIR","Pennsylvania"
31,"@realDonaldTrump https://t.co/Pffc9u4bd2","Pennsylvania"
32,"Con una multa descomunal se le quita.","Pennsylvania"
33,"Donald Trump received more re-election votes than any incumbent president in American history and you’re telling me that the man whose rallies couldn’t fill a parking lot got more and “won?”

🤔","Pennsylvania"
34,"MAGA Baby. Pure MAGA.","Pennsylvania"
35,"Dominion was built to be hacked.","Pennsylvania"
36,"As has been the normal case lately, Tweeting this story seems to being choked off by Twitter.  RT's are appreciated.

https://t.co/A4s3ivpUXL","Pennsylvania"
