"tweet","text","location"
1,"WE DEMAND A LEGITIMATE AUDIT‼️‼️

THIS ELECTION STEAL IS UNBELIEVABLE ‼️","Idaho"
2,"@realDonaldTrump @themarketswork I’ll see you Saturday then. We are heading to DC from North Carolina to express our outrage of this stolen, fraudulent “election” 

You won in a landslide and then they stopped counting and started manufacturing ballots. 

#StopTheSteal https://t.co/KLTrh9ztFF","Idaho"
3,"@realDonaldTrump If the Democrats get away with stealing the election and close down our country again... IT WILL BE THE GLITCH THAT STOLE CHRISTMAS!","Idaho"
4,"I believe in 2016 @realDonaldTrump declared the exact same result to be a landslide","Idaho"
5,"@lionheartleojai They have to keep the con going to get the pair, they probably think they would lose another bi election.","Idaho"
6,"Do you believe @TheDemocrats are stealing your election? 

Join the March for @realDonaldTrump tomorrow!

https://t.co/XaUMdOdyWg","Idaho"
7,"Abby Phillip to Bernie Sanders: ""You're saying that you never told Sen. Warren that a woman could not win the election?"" 

Sanders: ""That is correct"" 

Phillip to Warren: ""What did you think when Senator Sanders told you that a woman could not win an election?"" 

New York Times: https://t.co/xgesD2PcmH","Idaho"
8,"Joe Biden defeated Donald Trump in Georgia in one of the closest results of the 2020 election, flipping a rapidly changing state that has been a solid piece of the Republican electoral map for decades https://t.co/7hw70y8qaY","Idaho"
9,"Projected Loser Trump. We should make this trend. #ProjectedLoserTrump https://t.co/JkOrFWB4Ds","Idaho"
10,"@GeorgiaDemocrat Long journey not complete, we have one more election to place two more good men their Senate seat. 
#DontGetComplacent 
#WarnockGoesToWashington 
#VoteYourOssof","Idaho"
11,"These are some of the people who voted in #PA...

🧟‍♂️840 were 101 years old or older
🧟‍♂️39 lived through the Civil War
🧟‍♂️45 were born in the 1800s 

See it here for yourself: 
https://t.co/HmQixKGFuz","Idaho"
12,"Oop this was a drag hunny","Idaho"
13,"👀👀👀","Idaho"
14,"A look at how Georgia counties voted. 

NBC has projected that Biden is the winner of Georgia's 16 electoral votes. https://t.co/CO5JU87hD4 https://t.co/1FPQmZmRdC","Idaho"
15,"“Our number one priority is to ensure the integrity of this election.” -@CMSmedile https://t.co/UTgImPyj0M","Idaho"
16,"All 50 states and D.C. have been called. The final electoral count for the 2020 election: Biden 306, Trump 232. https://t.co/rrUjVa20Tn https://t.co/7FAGQVWnrw","Idaho"
17,"He would say that probably cause he’s involved 🤦🏼‍♀️","Idaho"
18,"@prayingmedic I notice on Bongino's podcast
You Tube is putting disclaimers on anything about the election, stating ""Biden won, the AP has called it.""
WTH..why on earth do they think the AP has any power?","Idaho"
19,"@Bobofreak2 @dadbodforlife @elite_cam72 @itsJeffTiedrich @realDonaldTrump A dictator not conceding is not a disputed election. Fuckboy is out come Jan 20.","Idaho"
20,"We havent had a true election since 1913 I am quite sure","Idaho"
21,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Idaho"
22,"Data from the highest-rated radio shows before and after the election illustrates how right-wing talk show hosts, like Rush Limbaugh and Sean Hannity, have been consumed by the same baseless theories of election fraud that have preoccupied President Trump. https://t.co/HFmJlupoYR","Idaho"
23,"I wonder why Twitter isn’t fact checking this? Could it be because he’s 100% right?","Idaho"
24,"'Never bet against me': Trump makes first post-election comments, lays out path to victory | Just The News
https://t.co/mTzKZmfeLC","Idaho"
25,"#Georgia","Idaho"
26,"One of the biggest stories to come out of this election is how unified Republicans now are. We refuse to yield and we simply don’t believe their b*llsh*t any more","Idaho"
27,"You know what looks suspicious to me? When an election official loses the thumb drive with the vote tallies the day after the election and just before 120k mail-in-ballots show up.

I’m talking to you Wisconsin...","Idaho"
28,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Idaho"
29,"Attorney General Bill Barr is about to bring the hammer down on the crooks behind the election fraud.

Rt if you agree
https://t.co/tgUQAwY8vj","Idaho"
