"tweet","text","location"
1,"人々は、この選挙が個人所有のラジカルレフト会社であるドミニオンや他の多くの理由によって彼らから盗まれたことを支持するつもりはありません！ https://t.co/y5JMMSmmQX https://t.co/XwstNeFu4m","Montana"
2,"We are..collect(ing) evidence on the financial interests on some of the Governors and SoSs who actually bought in to the D o m i n i o n systems.. to line their own pockets by getting the voting machine in that would.. assure their election was successful. 
-@SidneyPowell1","Montana"
3,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Montana"
4,"@nypost Must be election season....where's hunter's laptop??","Montana"
5,"Election Fraud: @RudyGiuliani says he has uncovered enough unlawful ballots in Pennsylvania and Michigan to turn the election in favor of @realDonaldTrump.  #MAGA #AmericaFirst #Dobbs https://t.co/VMzMNvzffs","Montana"
6,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Montana"
7,"""This claim about election fraud is disputed?"" By whom? By the ones who committed it? Of course, that makes more sense.","Montana"
8,"Apparently him winning is more important than the health of the country! Y’all just going to let him tear it up even more?","Montana"
9,"If President Trump isn't able to fully expose the greatest election corruption in U.S. history, Biden may be declared the winner ... but these are the real winners!!! https://t.co/Hfb3BX8HMe","Montana"
10,"RIGGED!","Montana"
11,"Huge number of Democrats are involved in the subversion of our 2020 election. President Trump shouldn’t concede. Republican Senators need to grow a backbone and stand with the President! All Patriots need to speak up! 
@SenateGOP 
@RudyGiuliani 
@SidneyPowell1 
#StopTheSteaI","Montana"
12,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Montana"
13,"The delusional refusal of Republicans to acknowledge the election results isn’t some quaint sideshow. It’s an assault on democracy that has lasting impact. If half the country starts to believe that elections are rigged then it’s hard to hold together a country this diverse.","Montana"
14,"@realDonaldTrump 78000000 won this election . Not stolen . I voted against you and tens of millions of others . The only attempt at stealing is you stealing our democracy. Bye Don","Montana"
15,"Lou Dobbs demands GOP help Trump fight for 'what is rightfully his' https://t.co/6cTeSKohgI","Montana"
16,"Just a somber reminder that it wasn’t a “threat to Democracy” when Democrats questioned election outcomes.
Let everyone have their day in court. Let the evidence be heard. American democracy is not going to break.","Montana"
17,"Trump and his followers are on the 'crazy train' with unhinged election conspiracies, Republican ... Issue them passports / free tickets to move to Russia, North Korea or Turkey where they have authoritarian regimes like the one they'd like to have here.  via @YahooNews","Montana"
