"tweet","text","location"
1,"RIGGED ELECTION. WE WILL WIN!","Texas"
2,"Timing Is Everything.

😎","Texas"
3,"I can personally vouch for all these issues with the software.

At some point I'll reveal why.","Texas"
4,"@VincentLup0 @FredTJoseph @realDonaldTrump Sure. One candidate used the USPS to stop delivery of ballots. He also tried to limit absentee voting during a pandemic. Even though he rigged the election, his opponent still won in a blowout.","Texas"
5,"@DonaldJTrumpJr - we need to get the media to STOP 🛑 ADVERTISING FALSE INFORMATION!!","Texas"
6,"Hubby and I working with @RudyGiuliani on @realDonaldTrump legal election fight. Go to @Parler to read facts @Twitter won’t let me tell you. Court filings start next week. Had to interview witnesses and draft Declarations to make sure all facts accurate. #maga","Texas"
7,"#Trump ""takes back"" this tweet. #TrumpIsALaughingStock 

This erratic snowflake has led us to 150K+ COVID10 cases a day.
https://t.co/V60UTqIo9n","Texas"
8,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Texas"
9,"I lost the election but ""I CONCEDE NOTHING""

I pressured a foreign ally to announce a fake investigation into my opponent, but ""I CONCEDE NOTHING""

I banged a porn star and paid her off, breaking the law, but ""I CONCEDE NOTHING""

#TrumpConceded because the Constitution says so!","Texas"
10,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!","Texas"
11,"@travisakers this is a great idea. 
1) The election is over.
2) Biden won. 
3) My dog is adorable. https://t.co/3j2Lqv72i9","Texas"
12,"I wish trump had tried to fight coronavirus as hard as he’s fighting democracy https://t.co/gG0Ew967ET","Texas"
13,"Democrats oppose:

-Voter ID laws
-Auditing the vote 
-The Electoral College

Under their watch, election integrity will become a thing of the past.","Texas"
14,"COVID-19 rates in Texas have hit record highs since the beginning of the pandemic. Hospitals are also seeing more patients ill with the virus, putting a renewed strain on caregivers across the state. https://t.co/PPysxHq0he","Texas"
15,"@nypost @williamlegate President Trump acknowledges 2020 election results, saying Biden won ‘rigged’ election

Fixed the headline for you NYP.","Texas"
16,"@Jou_Kaiser https://t.co/XBLTutZPrU","Texas"
17,"Let's say this whole election was rigged and proven. What then? I know Trump would still be President but who would be held responsible? What would happen to them, whoever they are?","Texas"
18,"I wish trump had tried to fight coronavirus as hard as he’s fighting democracy","Texas"
19,"Everything after ""He won"" is a lie. But those first two words are accurate!","Texas"
20,"@cynthia89928972 @karshaner @realDonaldTrump It’s called the popular vote dumb ass and the president is decided on the electoral college so California and New York who have as many people as the whole middle of the country don’t decide the election. It makes sure every area of the country has say.","Texas"
21,". @PeteButtigieg tweeted his desire for shared responsibility while Joe Biden supporters were violently attacking Trump supporters. 

Buttigieg’s team is creating a list of Trump supporters to punish - we cannot let him near government power of any kind.","Texas"
22,"Fact check of Trump’s weekend:
Joe Biden won the election.
Biden won Pennsylvania and Georgia. 
Georgia’s recount is a normal good recount.
Mail-in ballots are normal good ballots.
Tech glitches are normal and got resolved.
Dominion machines worked fine. 
Poll watchers watched.","Texas"
23,"OrieTiBuru🤫","Texas"
24,"I couldn't agree with you more. Although at 65 and disabled a civil war is the last thing I need but if they start it WE WILL WIN IT!","Texas"
25,"@TazKHC @B52Malmet TRUMP'S LONG CON
Sent Guiliani to Ukraine last year to discredit Biden
Pitched mail-in ballots as fraud
Installed DeJoy at USPS to slow the mail
Told his base to only vote on election day
Claim election day ballots as legal
Claim mail-in ballots illegal
Declare victory

#LOSER","Texas"
26,"Today’s Reality — the election is still contested and there are thousands of pieces of evidence of fraud but the media won’t report them.","Texas"
27,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!","Texas"
28,"He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!","Texas"
29,"RIGGED ELECTION. WE WILL WIN!","Texas"
30,"Solo ganó a los ojos de los FAKE NEWS MEDIA. ¡No concedo NADA! Tenemos un largo camino por recorrer. ¡Fue una ELECCIÓN AMAÑADA!","Texas"
31,"Donald Trump’s defeat in the US presidential election is the biggest climate story in years—but it is only a prerequisite to the difficult journey ahead. Where to turn next? Good journalism is vital to answering that question. 

@BillMoyers @markhertsgaard https://t.co/niHaEORgyh","Texas"
32,"We're with you all the way @POTUS .  Win this!  Release the Kraken.","Texas"
33,"So what you’re saying is once we have an effective vaccine, its success will depend on it being taken by the same folks who’ve spent the past 9 months arguing that COVID isn’t real and the past 9 days arguing that the election was rigged?

Cool cool cool.","Texas"
34,"Do you realize what is happening here?  We're not only going to see the overturning of the fraudulent US election in Donald Trump's favor, but we're going to see the exposure of corrupt multiple national elections and how they were stolen from the people.","Texas"
35,"WE CAUGHT THEM! Part 3: SAME IMPOSSIBLE BALLOT RATIO Found in Milwaukee - Results Change Wisconsin Election - 30,000 Votes Switched from President Trump to Biden https://t.co/3TuC2SaN8G via @gatewaypundit”Votes constantly switched from Trump to Biden” Hold the line@RebelNurse_76","Texas"
36,"Trump Attorney Rudy Giuliani Says Election will Be Overturned: ""We Have Proof I Can't Disclose Yet"" (Video) via @gatewaypundit https://t.co/wBqlXphSfW","Texas"
37,"Sidney Powell today on Maria Bartiromo. “We’re getting ready to overturn election results in several states.” “I don’t make comments without having the evidence to back it up.”","Texas"
38,"AFTER THE MILLION MAGA MARCH IN D.C. ...

WE ARE GOING HOME TO PROTEST AT ALL OF OUR STATE CAPITALS UNTIL THE OUR OFFICIALS CONDUCT AN OPEN &amp; HONEST AUDIT OF THIS CORRUPT ELECTION! 🇺🇸🇺🇸🇺🇸

RT AND TELL A FRIEND — THIS IS NOT OVER!!! https://t.co/c2ID2wJxCv","Texas"
39,"Does anyone really think that @SidneyPowell1 would commit to @realDonaldTrump winning the election if she didn't have the proof that it was rigged? She has it, trust me, this woman is a HERO who is helping to save AMERICA!!!","Texas"
40,"I am seeing far fewer Trump/Pence signs and flags in the past two weeks.","Texas"
41,"""He won"" — President Trump acknowledged Joe Biden's election win for the first time on Sunday, but continued to falsely insist the former vice president's victory was the result of a ""rigged"" election. https://t.co/1cC8xiJXzQ","Texas"
42,"Donald Trump Concedes Election to Biden and Then Takes It Back https://t.co/4HomYRtzQh","Texas"
43,"We need to stop calling Trump’s election lies delusional and call them what they are: a deliberate attack on the process to convince his supporters he didn’t lose and boost whatever he plans post-Jan 20. It’s disinformation and it’s being enabled by some members of his party.","Texas"
44,"Former Trump national security adviser John Bolton blasts the president on ABC just now over refusal to formally acknowledge election defeat, saying: “If he had any character, I would say it’s perfectly in character.”","Texas"
45,"John Bolton: ""Trump has lost the election""","Texas"
46,"BREAKING: Sidney Powell says she has enough evidence on Dominion Voting Systems to overthrow the ENTIRE ELECTION! #AuditTheVote #NEWELECTION #SendItToTheHouse","Texas"
47,"#“Mommy, I concede nothing”","Texas"
48,"CORRECTION:

This tweet was intended for @KLoeffler. I remain imperfect. But I would never knowingly take dime from China. Loeffler husband has extensive dealings with China with NYSE. 

GA election was totally rigged against @RepDougCollins.

Where is @BrianKempGA hiding?","Texas"
49,"Opinion💭by Yang Wei

#Beijing wants to abolish the #Election of the #HongKong LegCo so that the #CCP can elect its members directly and to ensure its one-party governance. 

The disqualification of the 4 pro-democracy lawmakers is just the first step. https://t.co/LEwaYVm9oz","Texas"
50,"The election is over. Biden won. We've got to stop letting the latest Trump tweet, lie or outrage drive coverage every single day. He's not your assignment editor.","Texas"
51,"He must have had a dream about prison. Most of us have had dreams about him being in prison. In fact, that's now the modern version of The American Dream.","Texas"
52,"Proficient Policing: Training Solutions That Unite Communities &amp; Law Enforcement #Texas https://t.co/TPc66hs3YW","Texas"
53,"Fact check of Trump’s weekend:
Joe Biden won the election.
Biden won Pennsylvania and Georgia. 
Georgia’s recount is a normal good recount.
Mail-in ballots are normal good ballots.
Tech glitches are normal and got resolved.
Dominion machines worked fine. 
Poll watchers watched.","Texas"
54,"Dear @TwitterSafety: Donald Trump has now publicly admitted that he lost the election. It’s irresponsible for you to continue to allow him to post dangerous and reckless tweets that spread false information and incite violence. It’s time to #DeactivateTrump.","Texas"
55,"Undermining the voters will in 2016 and saying Russia interfered in the election is what brought us to where we are now questioning our faith in democracy. Now the media and politicians want us to look the other way? I don't think so. #Election2020","Texas"
56,"Hubby and I working with @RudyGiuliani on @realDonaldTrump legal election fight. Go to @Parler to read facts @Twitter won’t let me tell you. Court filings start next week. Had to interview witnesses and draft Declarations to make sure all facts accurate. #maga","Texas"
57,"I CAN'T BELIEVE I'M LOSING TO THIS GUY!!!
TWO HOURS LEFT!! VOTE VERMIN!!
LEADER OF THE LIBERTARIANS.
#WhenInTheWorldIsVerminSupreme ?","Texas"
58,"RIGGED ELECTION. WE WILL WIN!","Texas"
59,"He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!","Texas"
60,"@SandraDees21 @1776Stonewall @BrandonChiles2 https://t.co/CH0yLMz6uf","Texas"
61,"@ColonelRETJOHN @wetheinfringed @EpochTimes https://t.co/CH0yLMz6uf","Texas"
62,"@RealMattCouch @wetheinfringed https://t.co/CH0yLMz6uf","Texas"
63,"The question of the year: How crooked is Justin Trudeau?  John Poulos CEO of Dominion Voting Machines is in his elite circle.","Texas"
64,"BOMBSHELL: The 2020 election took place under a Trump-declared ""National Emergency"" that set an Election Day trap for the ""unauthorized accessing of election and campaign infrastructure"" https://t.co/WAhhvbj5Tq","Texas"
65,"@Violette_Author @ABC @MarthaRaddatz @OANN @EpochTimes The presidential election is over; the overwhelming majority of votes have been counted; all the state races have been called; and Joe Biden has been credited with comfortable majority of both the popular vote and, prospectively, the Electoral College.  

Have a nice day.","Texas"
66,"#ICYMI: Top Election Chief of #Milwaukee, #Wisconsin CAUGHT on camera illegally tabulating 169,000 mail-in ballots; without observers, breaking the Legal Chain of Custody:

#Elections2020 #Election2020 #ElectionResults2020 #Elections #Trump #MAGA @TeamTrump @GOP @realDonaldTrump https://t.co/Hv9P2Y1UVF","Texas"
67,"Giuliani: Trump is contesting the election 'vigorously' in the courts https://t.co/FLyi5RUgCM","Texas"
68,"@realDonaldTrump It was so AWESOME to see you come out yesterday and support the massive crowds that were demanding a fair and transparent election.#TRUMPWON","Texas"
69,"Fitton: 2020 Election Update https://t.co/rLgZ6xWGDE via @BreitbartNews","Texas"
