"tweet","text","location"
1,"@GArlington1966 @Snowden @Sander_1954 @jhalderm @UMich @nytimes Thing is this video is about the 2016 election, not the 2020 election where these machines had been retired in favor of scannable paper ballots!","West Virginia"
2,"@monton57 @Snowden @jhalderm @UMich @nytimes These machines weren't used in the 2020 election. If you watched the whole video you would have heard that. Paper ballots were used in the 2020 election &amp; these old machines were retired! Trump lost! Worry about your own damned country &amp; stay out of ours!","West Virginia"
3,"They said, ""don't worry - we'll have your stimulus as soon as the election is over""

It's been over for almost two weeks. Meanwhile, we got $1,200 one time 232 days ago. They gave us $5.17 a day

Meanwhile, airlines got a $50 billion bailout and have laid off 90,000 people so far","West Virginia"
4,"Trump's new Pennsylvania lawsuit ultimately admits Biden won the election: report

https://t.co/OXTu6ZZM96","West Virginia"
5,"Go Blue! 🌊🌊🌊","West Virginia"
6,"@PeteButtigieg You will have high gas prices job losses and that pos will get richer... where is Hunter? Not one penny to research cancer? Good me won’t allow this country to fall especially after a rigged election. So let’s see what happens scum bag.","West Virginia"
7,"Was Election Software Rigged? Sidney Powell Lays Out the Trump Team's Findings. https://t.co/QrZmbi5x9L","West Virginia"
8,"The whole world has become a GIANT VENEZUELA. The US election was rigged and the Brazil's local election was rigged today too. The New World Order has started. From now on, who controls the system vote machine will decide for all.","West Virginia"
9,"The only thing that would have surprised me is if Philly didn’t cheat on a big scale in the 2020 election.

It would have been the first time they missed such an opportunity in 60 years.

Wake up to reality!","West Virginia"
10,"Trump allies in talks to buy Newsmax and turn it into Fox News competitor, reports say

https://t.co/asOjUviREQ

#Newsmax 
#FoxNews","West Virginia"
11,"My team is fighting vigorously on behalf of the President to restore legitimacy and trust in the results of this election and future ones. Systematic fraud, irregularities, and UNLAWFUL conduct erode confidence in our free and fair elections!!","West Virginia"
12,"It was fair to give the president time to concede. It was important to allow claims of fraud to be litigated.  Two weeks after the election it's incumbent on Republicans to speak simple truth. Biden won a free and fair election. Trump is actively undermining the Republic.","West Virginia"
13,"The only thing that would have surprised me is if Philly didn’t cheat on a big scale in the 2020 election.

It would have been the first time they missed such an opportunity in 60 years.

Wake up to reality!","West Virginia"
14,"Was Election Software Rigged? Sidney Powell Lays Out the Trump Team's Findings. https://t.co/8rsdgLZ3jj","West Virginia"
15,"Rudy Giuliani discusses systemic fraud throughout election https://t.co/Uqm2XevPgs via @YouTube @JennPellegrino","West Virginia"
16,"Currently Dominion is being utilized in 2,000 jurisdictions in 30 states. Texas decided not to use it on three separate occasions because of fraud concerns. On top of that, former Adm Peter Neffenger's Chairman of the Board of Directors of Smartmatic. SO?
https://t.co/jVI81CoDZu","West Virginia"
17,"Move out from all Fake News Media.","West Virginia"
18,"@realDonaldTrump's Lawyer @SidneyPowell1: ‘We’re Getting Ready to Overturn Election Results in Multiple States’...
#ReleaseTheKracken
 https://t.co/gpGu6VembS via @epochtimes","West Virginia"
19,"....perhaps like never before! From large numbers of Poll Watchers that were thrown out of vote counting rooms in many of our States, to millions of ballots that have been altered by Democrats, only for Democrats, to voting after the Election was over, to using Radical Left","West Virginia"
20,"Hahaha classic, there you go Donald, the only one with franchise to the word WINNER, everyone else is losers and fake, what at loser and fake president you are....pathetic","West Virginia"
21,"The 2020 Election was as phony as Obama's Birth Certificate.","West Virginia"
22,"Kim, people are dying","West Virginia"
23,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy. https://t.co/7Hlx0vvk0Q","West Virginia"
24,"UPDATE: Pennsylvania's lawyers say there's now so little left of the Trump campaign's federal lawsuit over election results there that there's no need for the argument session a judge has scheduled for Tuesday. Via J Gerstein, Politico Sr Legal 

https://t.co/4cPcvIzwor","West Virginia"
25,"@Laurs290 @Roberts219T @RudyGiuliani And the GOP’s own senate committee report found that Russia did interfere in the election. That’s an indisputable fact.","West Virginia"
26,"@llLivesMatter @Laurs290 @Roberts219T @RudyGiuliani How ironic that I just sent you the actual video of her literally conceding the election.

Now compare and contrast with Donald Trump’s actions.","West Virginia"
27,"@realDonaldTrump A team of intern’l observers invited by the Trump admin has issued a prelim report giving high marks to the conduct of last week’s elections — &amp; it criticizes Trump for making baseless allegations that the outcome resulted from systematic fraud

https://t.co/38UAWfPBI8","West Virginia"
28,"Frankly, counting ballots AFTER Election Day is also a problem.","West Virginia"
29,"ALLOW ME TO EXPLAIN HOW SIMPLE THIS SHALL BE!
❤
ONCE ELECTION FRAUD IS PROVEN AT THE SUPREME COURT, JOE BIDEN IS DISQUALIFIED!","West Virginia"
30,"Why does the Fake News Media continuously assume that Joe Biden will ascend to the Presidency, not even allowing our side to show, which we are just getting ready to do, how badly shattered and violated our great Constitution has been in the 2020 Election. It was attacked,..","West Virginia"
31,"Twitterがわざわざトランプ投稿に「本投稿の事実関係は争われています」と注意書。これが許されたら、どこかの半島などが捏造した「日本人強姦魔説」にも毎回注意添付しなきゃフェアじゃないでしょ？","West Virginia"
32,"“I don’t make comments without having the evidence to back it up.” Trump Lawyer Sidney Powell: ‘We’re Getting Ready to Overturn Election Results in Multiple States’ https://t.co/qOEekgWSjy","West Virginia"
33,"....perhaps like never before! From large numbers of Poll Watchers that were thrown out of vote counting rooms in many of our States, to millions of ballots that have been altered by Democrats, only for Democrats, to voting after the Election was over, to using Radical Left","West Virginia"
34,"Why does the Fake News Media continuously assume that Joe Biden will ascend to the Presidency, not even allowing our side to show, which we are just getting ready to do, how badly shattered and violated our great Constitution has been in the 2020 Election. It was attacked,..","West Virginia"
35,"....owned Dominion Voting Systems, turned down by Texas and many others because it was not good or secure, those responsible for the safeguarding of our Constitution cannot allow the Fake results of the 2020 Mail-In Election to stand. The World is watching!","West Virginia"
36,"@AmbJohnBolton @NPRinskeep @NPR The election shows that, if that's true, it won't be an electoral one. Given that obvious fact, this seems like a pretty explicit and obvious threat against elected officials.","West Virginia"
37,"Statement from CISA (part of Trump DHS) and state officials says the election ""was the most secure in American history,"" dismisses ""unfounded claims,"" says in bold, ""There is no evidence that any voting system deleted or lost votes, changed votes, or was in any way compromised."" https://t.co/fS7twFPuyd","West Virginia"
38,"Lol","West Virginia"
39,"Rudy Giuliani discusses systemic fraud throughout election https://t.co/Uqm2XevPgs via @YouTube @JennPellegrino","West Virginia"
40,"....owned Dominion Voting Systems, turned down by Texas and many others because it was not good or secure, those responsible for the safeguarding of our Constitution cannot allow the Fake results of the 2020 Mail-In Election to stand. The World is watching!","West Virginia"
41,"The 2020 Election was as phony as Obama's Birth Certificate.","West Virginia"
