"tweet","text","location"
1,"@realDonaldTrump https://t.co/weqGU2JGpf","Oklahoma"
2,"@pepepatriot1776 @AngelOfficial @AbbyJohnson @mysweetchickape https://t.co/weqGU2JGpf","Oklahoma"
3,"@wyrmspleen @alienthinker @AbbyJohnson https://t.co/weqGU2JGpf","Oklahoma"
4,"@xotrulyem https://t.co/weqGU2JGpf","Oklahoma"
5,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","Oklahoma"
6,"Hopefully, once the dust settles we can have a real talk about polling errors that simply cannot continue.

Here's just one topic to discuss:

Uncomfortable Sharing Political Beliefs w/ Pollsters

AZ: 38%
FL: 32.7%
PA.: 29.4%
MI: 37.6%
MN: 34.2%
WI: 39.3%
https://t.co/ONyY1wvLo7","Oklahoma"
7,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Oklahoma"
8,"@realDonaldTrump If you were so concerned about election security, you should have done something about it over the past FOUR YEARS we'd been screaming about it.

Fortunately, our mostly mail-in ballots couldn't be hacked, dipshit. https://t.co/BczOX5Qvqn","Oklahoma"
9,"28 of 31 random checks are very much alive. One of them said, ""I would have to have been dead to vote for Trump.""","Oklahoma"
10,"They think we forgot about this. We didn’t &amp; we won’t.","Oklahoma"
11,"If an honest, independently observed signature-match check won't change the outcome of the election, then why are all the officials, the media and the Democrats demanding no such independently observed signature-match check occur for the mass of mail-in ballots in key states?","Oklahoma"
12,"You'll notice that Mr Campbell is affiliated with Johns Hopkins. Just like myself, and just like Dr Molly McCauley. 🙏🙏🙏
What are the odds out of the entire planet a company involved in the deepest and highest levels of voter fraud for this presidential election,","Oklahoma"
13,"My mom is explaining how the election was stolen by a complex and secretive network involving an Arizona lawyer, the founder of Coldstone Creamery, and Cindy McCain. 🧐","Oklahoma"
14,"#MillionMAGAMarch #AmericaFirst","Oklahoma"
15,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Oklahoma"
16,"Yes","Oklahoma"
17,"Dear @Twitter, stop interfering in the election.","Oklahoma"
18,"Is this true?? 🧐🤔👇","Oklahoma"
19,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Oklahoma"
20,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Oklahoma"
21,"Oregon Women for Trump were there for you!! We love you President @realDonaldTrump and will always fight for you. https://t.co/njRxyHyIEQ https://t.co/bG0Xh4t4s4","Oklahoma"
22,"Election Witnesses:#Kanye’s Michigan Votes Were Stolen by Joe #Biden

Those votes were primarily given to Biden.""Workers joked about it as they physically altered ballots 2 remove votes 4 Kanye,&amp;instead add them to #Democrat totals""

https://t.co/TmMlodi5D4

#QAnon2018 #QAnon2020 https://t.co/NOgf5BSbxw","Oklahoma"
23,"The guy who had Louis DeJoy cripple the USPS, told his voters to vote TWICE, and then told millions more NOT to use mail-in ballots is calling the election ""rigged"" and is wondering why he lost.

You can't make this shit up.","Oklahoma"
24,"Freedom Loving Americans in Georgia MUST increase pressure on Governor @BrianKempGA to call a special session of GA legislature to deal with fraudulent &amp; unlawful 11/3 election.

Why is Kemp just giving us lip service? Why is Kemp not fighting for the People &amp; @realDonaldTrump?","Oklahoma"
25,"Would it greatly concern you if all of the votes in the 2020 Presidential election were routed to Amazon servers in Barcelona &amp; Frankfurt before being reported or is it just me?

#FightBack for No Hacked Elections","Oklahoma"
26,"China has infiltrated our country &amp; unless Freedom Loving Americans #FightBack, China will control the White House.

This is a very real coup &amp; our freedom is at stake.

We cannot let this fraudulent election stand.","Oklahoma"
27,"CORRECTION:

This tweet was intended for @KLoeffler. I remain imperfect. But I would never knowingly take dime from China. Loeffler husband has extensive dealings with China with NYSE. 

GA election was totally rigged against @RepDougCollins.

Where is @BrianKempGA hiding?","Oklahoma"
28,"B-I-N-G-O, President Elect!!!

Georgia voters are being cheated. GA election was  unlawful &amp; present recount is a fraud.

Let the corrupt GA Republican Governor @BrianKempGA &amp; @GaSecofState know in no uncertain terms that you will not tolerate their shenanigans.

Be relentless.","Oklahoma"
29,"I filed a lawsuit today in federal court in Atlanta to establish that the March 6, 2020 Consent Agreement by the GA Secretary of State rendered UNLAWFUL the 11/3 GA general election.

I am right under established law. 

https://t.co/3FBMWlPDmC","Oklahoma"
30,"Chinese Communists used computer fraud &amp; mail ballot fraud to interfere with our national election. They thought we could be had &amp; they could overthrow our duly elected President without firing a shot.

They were wrong.","Oklahoma"
31,"John Podesta
Donna Brazille
Smartmatic
and
Georgia Soros.

Who would have thought it?

Lesson learned in 2016 after computer scheme fell short.

They added ballots by mail.

Didn’t work in 2016. Won’t work in 2020.

Did work in 2018 midterms. @realDonaldTrump not on ballot.","Oklahoma"
32,"Various elections over the past 10+ years have been infected with computer fraud.

Obama/Biden 2012 win in Florida.

2016 Trump/Clinton. Yes, @realDonaldTrump actually won popular vote too. 

2018 mid-term election. 

20/20, mail ballots were added to cure 2016 issue.

Criminals.","Oklahoma"
33,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Oklahoma"
34,"Because they are trying to cheat him AGAIN","Oklahoma"
35,"民心所向榮光歸川普","Oklahoma"
36,"#MAGAMillionMarch #election #ProudBoys","Oklahoma"
37,"@PressSec @realDonaldTrump #MAGAMillionMarch #election #ElectionIntegrityNOW. Today’s March was an embarrassment for trumpers.  Lots of “Trumpet Noise” and nothing else- certainly no huge crowd.  Look at last weeks celebratory rallies if you to see real crowds.  Joy for Biden.","Oklahoma"
38,"We win.  The West wins.  Liberty wins.  Tradition wins.  And I'm not just talking about an election.  We win.  We won.","Oklahoma"
39,"The biggest super-spreader event was the 2016 election","Oklahoma"
40,"A dear friend, great legislator, and a class act. @MatsonForHouse is all those things and I read this article with so much pride about who she is and where she’s going. https://t.co/gUX7M9uKkz","Oklahoma"
41,"Add Texas, Oklahoma,  and Florida to your list","Oklahoma"
42,"Maybe if y'all focused on what *the majority of the country* wants instead of iteration #8,798,743 of How Can We Appease Bigots Who Want to Imprison or Kill Us All, you might be able to sustain high voter turnout every election, not just when the nation's on the brink of doom.","Oklahoma"
43,"With all the information coming out this week, a simple executive order from two years ago warrants another read.
https://t.co/p66rI4BYRJ","Oklahoma"
44,"TREASON AT THE HIGHEST LEVEL

DHS Secretary Chad Wolf Defies President Trump – Refuses to Fire Cybersecurity Chief Krebs Who Missed(?) Massive Fraud in this Year’s Election

https://t.co/cWw2bvVidq","Oklahoma"
45,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Oklahoma"
46,"The Help America Vote Act requires that certain first-time voters provide ID when voting. 
 
But at the eleventh hour, Boockvar unilaterally re-wrote PA Election Code to move the deadline for providing missing proof of ID to several days past the deadline set by law. (2/3)","Oklahoma"
47,"Prosecutors who AG Bill Barr dispatched to investigate Trump's evidence-free claims of mass election fraud say they found no substantial irregularities || Via BusinessInsider https://t.co/oprhFGSqsC","Oklahoma"
48,"Estão recontando os votos sem mostrar as assinaturas. Bando de canalhas! Vai pra cima deles! @realDonaldTrump","Oklahoma"
49,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Oklahoma"
50,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Oklahoma"
51,"What we get if
Democrats win the Senate…
-healthcare for all 
-$15 minimum wage
-election reform
-infrastructure bill
-address climate change
-voting rights act
-world respect
-stamp out CoVid

What we get if
Republicans win the Senate
-None of the above

#VoteBlue","Oklahoma"
52,"We need the Kracken @SidneyPowell1 🙏","Oklahoma"
53,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Oklahoma"
54,"You’re exactly right.","Oklahoma"
55,"@realDonaldTrump Give up the lies man, you have lost all credibility. There are 102 observers from 39 countries, made up of 50 ODIHR-deployed experts and observers, and 52 parliamentarians and staff from the OSCE PA watching. There is no cheat.https://t.co/MbxCDJ2K0W","Oklahoma"
56,"@realDonaldTrump https://t.co/7RLDEsIoYI","Oklahoma"
