"tweet","text","location"
1,"Trump's False 'Stolen Election' Claims Could Unleash Wave of Right-Wing Violence || By Albert Hunt https://t.co/dBa8NI1yQO","Kansas"
2,"I have a prediction. With the success (By that I mean the large number of people who voted with little problems.) of this election I predict that the Dems will start pushing for expanding voting dates and mail in voting and the Reps will try to shut it down.","Kansas"
3,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Kansas"
4,"Twitter, Facebook and the media had no problems when this lunatic vodka soaked lampshade with enough Botox to paralyze an army said the same thing about 2016 that we're saying about 2020.","Kansas"
5,"To the reporter that yelled “When will you acknowledge that you lost the election Sir?” At the end of the press conference, you sir deserve a beer! 🙌💯 #TrumpPressConference #LameDuckTrump https://t.co/uG05kUcjGw","Kansas"
6,"Sidney Powell: I""'m going to release the Kraken."" https://t.co/hmlNah8xsc","Kansas"
7,"BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Trump to Biden or Were Lost -- Using Dominion and Other Systems https://t.co/pBoCNeDL3X via @gatewaypundit","Kansas"
8,"In 2020 if you say the election was hijacked you can get banned 

In 2017 if you said the election was hijacked you can be Speaker of the House","Kansas"
9,"WE have to save America and we have to do it right now because I’d they steal this election, we will never have another fair election again. https://t.co/2ltAfFUSnZ","Kansas"
10,"@dbongino @suzydymna https://t.co/gdr5czG8Ra","Kansas"
11,"@RealMiniAOC @clay_prieto https://t.co/gdr5czG8Ra","Kansas"
12,"@RedWingGrips @2Disabled https://t.co/gdr5czG8Ra","Kansas"
13,"@JCISME0 @ChickadeeThe https://t.co/gdr5czG8Ra","Kansas"
14,"@pam_sands @LaylaAlisha11 @gatewaypundit https://t.co/gdr5czG8Ra","Kansas"
15,"@RealMattCouch @Alpha6Phinsider https://t.co/gdr5czG8Ra","Kansas"
16,"@TX_WalkerRanger @ck031956 https://t.co/gdr5czG8Ra","Kansas"
17,"@MazurikL @ChickadeeThe @realDonaldTrump @DonnaWR8 @pinkk9lover @LVNancy @John_KissMyBot @bbusa617 @CB618444 @petluvers4Trump @SandraSBreen @MightyBusterBro @cuban_manny https://t.co/gdr5czG8Ra","Kansas"
18,"@RealBrysonGray @LeaSavoy https://t.co/gdr5czG8Ra","Kansas"
19,"Where's Hunter? In a mansion in LA, with several handlers, in contact with Joe's handlers. Preparing to use Hunter when needed.

Where's the REAL Hunter? Taken away. No longer with us. FBI has been sitting on this for months hoping to hide it until the election. It's coming out. https://t.co/AtnuxfH4nO","Kansas"
20,"Michigan, PA, AZ, and GA legislatures disclaiming any role in trying to overturn their state’s election results:

https://t.co/2vPcJqompx https://t.co/yK4D0QkqSI","Kansas"
21,"https://t.co/2B5PHSdFeU","Kansas"
22,"President Trump's campaign accused four Georgia voters of fraud. Said they voted 'dead' in the presidential election. We tracked two of them down, alive &amp; well. We simply knocked on a door and 96-year-old Mrs. James Blalock answered. @11AliveNews  https://t.co/n9dLA70jJB https://t.co/10cbPJTXB0","Kansas"
23,"A Michigan judge has denied a petition to block the certification of the 2020 election results in the heavily Democratic county that is home to Detroit, another legal setback for the Trump campaign, which has similar cases in several states. https://t.co/srtHsiNIc5","Kansas"
24,"Release the Kraken: @SidneyPowell1 vows to expose the Silicon Valley and left-wing corporations that are using their power to help Democrats steal the election from @realDonaldTrump. #MAGA #AmericaFirst #Dobbs https://t.co/EPJSfUZqM2","Kansas"
25,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from 

I C CHEST 13 13","Kansas"
26,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Kansas"
27,"For context, when Obama ran for re-election, he won. When Trump ran for re-election, he lost. https://t.co/nSmBDaIJjB","Kansas"
28,"Hahahaha what changed? 😂","Kansas"
29,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Kansas"
