"tweet","text","location"
1,"Watch @RudyGiuliani interview on @MariaBartiromo this morning at 10:00. Doing a great job exposing the Rigged Election Hoax!","Virginia"
2,"He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!","Virginia"
3,"If there ever was a must read article, here it is!

If you truly believe the Democrats are trying to steal the election, this is an explanation in detail that shows how and why they will fail!

Read this very carefully, but read it you must! https://t.co/RrRjScvxpl","Virginia"
4,"#TrumpWon","Virginia"
5,"RIGGED ELECTION. WE WILL WIN!","Virginia"
6,"https://t.co/qSto7twp5N","Virginia"
7,"NEW: Former National Security Adviser John Bolton urges GOP leadership to ""explain to our voters... that in fact Trump has lost the election and that these claims of election fraud are baseless."" https://t.co/z6SZ06zbP3 https://t.co/GyXya7xYAv","Virginia"
8,"Well would you look at that... 

Republican convicted of election fraud helps lead Trump rally baselessly claiming election fraud ⋆ Michigan Advance https://t.co/d2Cw179fQ4","Virginia"
9,"LIVE NOW: The latest updates and results following the 2020 Presidential Election on Newsmax TV. #VoteForAmerica2020 https://t.co/VlT7z8drtO https://t.co/bCOLcSyYD1","Virginia"
10,"Yesterday, small town Wisconsin protesters gathered at the Marathon County Courthouse to support President Trump and demand a fair and free election. https://t.co/39AZSvEzk0","Virginia"
11,"@realDonaldTrump Lawyer @SidneyPowell1 Sidney Powell: ‘We’re Getting Ready to Overturn #Election2020 Results in Multiple States’ https://t.co/KOSWpotNdI
 
Download our app to read more for free at https://t.co/ZHqt2QcVOo","Virginia"
12,"Fight. All. The. Way.","Virginia"
13,"Narcissist in Chief. While the pandemic rages across the country, Trump spends his day plotting how he can overturn the election results. Fortunately, we will soon have a president who believes in science and who is prepared to serve the American people, not himself.","Virginia"
14,"The admission on Twitter was quickly followed up with a tweet doubling down that he was not actually conceding. https://t.co/iOvcfCf0ba","Virginia"
15,"President Trump arrived at Trump National Golf Club in Sterling, Virginia at 10:11am on Sunday, per pool reports. This is his 413th day at one of his properties and 302nd day at one of his golf clubs during his presidency.","Virginia"
16,"The trap was set before the election in ‘18. The sting happened in ‘18 &amp; ‘20 election. Get familIar with this Executive Order. WE HAVE IT ALL

President Donald J. Trump Is Working to Protect Our Nation’s Elections from Foreign Interference |The White House https://t.co/iLgeuZL2Rl","Virginia"
17,"@PeteButtigieg Now show all the Dem election night celebrations; you know, dancing in the streets and drinking champagne from the same bottle. Oh, and let us not forget all the “peaceful” demonstrations we’ve seen. Hypocrite.","Virginia"
18,"FEC Chairman Makes Explosive Pronouncement: ‘This Election is Illegitimate’ https://t.co/FN2CuX0Cwz","Virginia"
19,"#Arkansas  Gov. Hutchinson Urges Trump To 'Accept' Biden Election Win | https://t.co/n8CMS3cKuG https://t.co/bB4KzzJM8k via @Newsmax","Virginia"
20,"@BumImpeach @WattersWorld @JesseBWatters And since you all think this election was fair then you won’t have any problem with it being investigated. Each and every vote will be investigated for fraud.","Virginia"
21,"🔥💣💥must watch. As this morning, it ISN'T a voter fraud case anymore. It's a conspiracy to commit multi-state elections fraud via Dominion/software. .@SidneyPowell1 told .@MariaBartiromo on election legal challenges that remain active in several states   https://t.co/7VG6mcgPyo","Virginia"
22,"The election results in several battleground states continue to be under intense focus as allegations of voter fraud are being investigated. @SidneyPowell1 joins “Justice” to discuss this and much more. https://t.co/lLoXdgAhpV","Virginia"
23,"Let's say this whole election was rigged and proven. What then? I know Trump would still be President but who would be held responsible? What would happen to them, whoever they are?","Virginia"
