"tweet","text","location"
1,"We’re going to need your support. Since the election, Parler has added millions of new users eager to speak freely about issues &amp; concerns with the process. 
The tech tyrants cannot tolerate free speech. They hate it. 
They will do their best to stop us. But we will NOT go away. https://t.co/h6QSOd5BHx","Mississippi"
2,"In 2012, Obama set an all-time record low for the number of counties won in a presidential election with 689.
Biden won only 477 counties, but supposedly had 9 million more votes.
Republicans didn't lose a House seat this year and picked up 12.
Blue mirage?","Mississippi"
3,"Wow. This is exactly what happened to us. Great courage by judge! https://t.co/p86FXdcBl2","Mississippi"
4,"Because it goes against the media’s desired outcomes and therefore merits no discussion or acknowledgment. https://t.co/LWLeA2F6UU","Mississippi"
5,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Mississippi"
6,"Great news, Georgia! You’re voting again soon! Request your absentee ballot now to get it in time for the holidays. Because this year’s hottest gift is Representative Democracy! #BetterKnowABallot","Mississippi"
7,"Damn Straight https://t.co/L7l3TLaYg8","Mississippi"
8,"Boies and Olson, the two lawyers on opposite sides of the Bush v. Gore case in 2000, agree that ""Biden won the election"" and that this year ""bears no resemblance"" to the Florida recount. 

https://t.co/IzVeObT12k","Mississippi"
9,"Retweet","Mississippi"
10,"Retweet","Mississippi"
11,"@1JohnEBravo @timkaine Hey Timmy 
Boy.....you know as little about certification of elections as you do about saying America created slavery.  Maybe you would be better off not opening your mouth&amp;looking like a fool.

Yes there is fraud when dead people vote, etc. contesting an election is a RIGHT.","Mississippi"
12,"@pbesong @17ThankQ @727Hummingbird Sorry I guess I show have wrote it better 

I was making fun of msm saying they called the election","Mississippi"
13,"It mind-numbing that liberal Dems and press are outraged over a fair accounting in the 2020 election while at the same time they brazenly promote election fraud in the Georgia Senate runoff by encouraging democrats to “move” to Georgia and use their fake residency to vote.","Mississippi"
14,"Now you're going to complain that ppl are mean for talking bad about your dad on Twitter...after you shared his face on a meme.

He lost his election in EMBARRASSING fashion. We all held our nose &amp; voted for him, but he didn't even come CLOSE to expanding the base like Trump did. https://t.co/nihFZIHmm3","Mississippi"
15,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
16,"AFTER THE MILLION MAGA MARCH IN D.C. ...

WE ARE GOING HOME TO PROTEST AT ALL OF OUR STATE CAPITALS UNTIL THE OUR OFFICIALS CONDUCT AN OPEN &amp; HONEST AUDIT OF THIS CORRUPT ELECTION! 🇺🇸🇺🇸🇺🇸

RT AND TELL A FRIEND — THIS IS NOT OVER!!! https://t.co/c2ID2wJxCv","Mississippi"
17,"Look at this tweet from Trump.","Mississippi"
18,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
19,"While Germany held many elections in 1932, Adolf Hitler lost every time he was on the ballot.

Following a series of legislative wins by the Nazi Party, he was eventually named chancellor, despite losing the presidential election by nearly 6 million votes.","Mississippi"
20,"Of course, Trump supporters were the only ones defending the New York Post when Twitter banned them - and as expected, as soon as they get their account back, they go straight back to their Trump hate,","Mississippi"
21,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
22,"PornHub releases top porn searches per state during election week https://t.co/Z6UMa4GgXX https://t.co/xONINm0uwi","Mississippi"
23,"Amazing","Mississippi"
24,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
25,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
26,"The country is just being introduced to Georgia SOS, Brad Raffensperger.

We are also beginning to uncover the corrupt actions he has taken to steal the 2020 election for the Democrats.  

Soon the whole country will know him and his actions.

#gapol
https://t.co/I1MjmYT50J","Mississippi"
27,"*ahem*

Sneed https://t.co/BvlE86wJ2J","Mississippi"
28,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Mississippi"
29,"(1/6) We have 234 pages of sworn affidavits under penalty of perjury alleging election irregularities from just ONE county in Michigan

ALLEGATIONS:

➡️ EYEWITNESS saw batch of ballots, 60% had SAME signature

➡️ EYEWITNESS saw ballot batch scanned 5 times","Mississippi"
30,"Nearly 10,000 voters disenfranchised by the green button. If you voted on Election Day in Maricopa County and either you or a poll worker pressed the green button, go to https://t.co/kyMNdkVE3i Every single legal vote MUST be counted. #DontTouchTheGreenButton https://t.co/feWjDOov5H","Mississippi"
31,"Add @GovRonDeSantis to the ticket. @TimScottSC is a serious contender as well. There is a truly diverse array of young Republicans ready to save America from the catastrophe of this stolen 2020 election.","Mississippi"
32,"Breaking, per @OANN: RINO Sen. James Lankford (R) says ""This election is still going on...nothing is resolved in the election. We don't know who will win...Joe Biden is NOT President-elect.""

Whoa.👆

Like I said, GOP clearly prepping 4 disputed electorals + 12th Amendment fight.","Mississippi"
33,"Release the Kraken: @SidneyPowell1 vows to expose the Silicon Valley and left-wing corporations that are using their power to help Democrats steal the election from @realDonaldTrump. #MAGA #AmericaFirst #Dobbs https://t.co/EPJSfUZqM2","Mississippi"
34,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
35,"Amazing","Mississippi"
36,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
37,"@realDonaldTrump @BrianKempGA @GaSecofState @newsmax @DickMorrisTweet Why the recounts/audits matter, and why Trump will ultimately win his case against #ElectionFraud at SCOTUS;

PS: ICYMI, while the #FakeNewsMedia pimped #FakePolls, @Newsmax's prescient article (9/23/20) foreshadowed the fallout of a broken #Election2020:

https://t.co/m50Ey32MSr https://t.co/pvP1lKWdgz","Mississippi"
38,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","Mississippi"
39,"@pepesgrandma Feds staging election antics because they want civil unrest &amp; to buy time to continue a ""blackbag op"" on me for blackmail/extortion. 45 isn't running against Joe, he’s running against truth of spygate (AKA crossfire hurricane) &amp; its victim (me). See Thread https://t.co/0heTaDzoIu","Mississippi"
40,"Collins: Georgia Can’t Properly Certify Election Without Verifying Signatures https://t.co/aR5idMi81e
 
Download our app to read more for free at https://t.co/MunyuUKpGc","Mississippi"
41,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
42,"AFTER THE MILLION MAGA MARCH IN D.C. ...

WE ARE GOING HOME TO PROTEST AT ALL OF OUR STATE CAPITALS UNTIL THE OUR OFFICIALS CONDUCT AN OPEN &amp; HONEST AUDIT OF THIS CORRUPT ELECTION! 🇺🇸🇺🇸🇺🇸

RT AND TELL A FRIEND — THIS IS NOT OVER!!! https://t.co/c2ID2wJxCv","Mississippi"
43,"#Obamagate","Mississippi"
44,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Mississippi"
45,"This race has been a safe Dem hold since election night, but Rep. Tom Suozzi (D) just took the lead by 6,381 votes w/ more mail ballots counted in #NY03. https://t.co/giGiDO8S4p?","Mississippi"
46,"I have but one question for the media. How stupid do you think we are? In multiple cities across this country, we went to bed on election night while President Trump had a clear lead only to wake up and millions of votes had come in. In the middle of the night. Like at 3:45 am.","Mississippi"
47,"Yet still, the MSM, out loud, claims that Joe Biden (yeah that one) received more votes than any American Presidential candidate ever! EVER! More than Reagan in his landslide election and even more votes than the ever-present Barrack Hussein Obama!","Mississippi"
48,"Look at this tweet from Trump.","Mississippi"
49,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
50,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","Mississippi"
51,"Election Fraud: @RudyGiuliani says he has uncovered enough unlawful ballots in Pennsylvania and Michigan to turn the election in favor of @realDonaldTrump.  #MAGA #AmericaFirst #Dobbs https://t.co/VMzMNvzffs","Mississippi"
52,"🚨ELECTION ALERT🚨

💥It appears @RudyGiuliani is right 💥
Trey Trainor, Chairman of the Federal Election Commission 
calls it 💥“Illegitimate election“💥
https://t.co/UnsXveuHtG","Mississippi"
53,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
54,"The Silent Majority is strongly troubled by the Big Steal! (Not happy)! https://t.co/VHeu1wDdvr","Mississippi"
55,"🙏","Mississippi"
56,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
57,"Election security officials have no evidence that ballots were deleted or lost by voting systems in this month’s #Election2020, two security groups said in a statement released by the lead U.S. cybersecurity agency https://t.co/nemxHGt96h","Mississippi"
58,"NEW joint statement from the Elections Infrastructure Government Coordinating Council &amp; the Election Infrastructure Sector Coordinating Council Executive Committees on the security of #Election2020.

Read the statement here ⬇️  https://t.co/mxt5HGF4wK","Mississippi"
59,"In a joint statement, the bi-partisan Election Infrastructure Government Coord. Council, CISA Asst. Director, and the Nat'l Secretaries of State called the 2020 election the ""most secure in American history. There is no evidence that any voting system was in any way compromised.""","Mississippi"
60,"The Election Infrastructure Government Coordinating Council—a consortium of election administrators and federal agencies overseeing election security—refute the widespread claims of voter fraud by the president and right-wing conspiracists in a statement.  https://t.co/wH90ZQcBZ0","Mississippi"
61,"❤️🇺🇸Yes, We The People Stand 💯% With Our  @realDonaldTrump ❤️🇺🇸
❤️🇺🇸We The People Admire, Love and Support 💯% Our Amazing POTUS.  Best President Ever of The United States of America. The Land That I Love With All My Heart Forever. The Greatest Nation on God's Green Earth.❤️🇺🇸","Mississippi"
62,"Texas had 66% total voter turnout in 2020.  6.6% increase from 2018.

Arizona has 3.9 million registered voters. 3.4 million voted. That’s 87% total voter turnout. Arizona has averaged 59% for past 4 Presidential elections.

AZ required nearly 30% increase to steal the election.","Mississippi"
63,"Pelosi on Election Day: ""Democrats are poised to further strengthen our majority.""

Pelosi today: ""I never said that we were going to pick up"" seats. https://t.co/6s14zfA3LO","Mississippi"
64,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
65,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
66,"Add @GovRonDeSantis to the ticket. @TimScottSC is a serious contender as well. There is a truly diverse array of young Republicans ready to save America from the catastrophe of this stolen 2020 election.","Mississippi"
67,"Lou Dobbs demands GOP help Trump fight for 'what is rightfully his' https://t.co/6cTeSKohgI","Mississippi"
68,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Mississippi"
69,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","Mississippi"
70,"Wow. This is exactly what happened to us. Great courage by judge!","Mississippi"
71,"Breaking: US Army has Seized Dominion Servers Containing US Presidential Election Data in Frankfurt, Germany https://t.co/sjxl32BLIS","Mississippi"
72,"The Vote-Switching Ghost in the Machine 

Great read and I believe this as we see Twitter using algorithms on our accounts 

This is all just the first fruits of the election fraud investigations. USA politics have indeed moved into uncharted territory https://t.co/Xy9iYI4yNg","Mississippi"
73,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
74,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
75,"Tears of joy and pride!","Mississippi"
76,"Democratic senators warned of potential 'vote switching' by Dominion voting machines prior to 2020 election 

Experts in Texas too

https://t.co/8QSvG5JNcP from @AndyMarkMiller for @dcexaminer","Mississippi"
77,"It's very hard for the courts to overturn an election—no matter how dubious. But that doesn’t mean the folks shouldn’t get clarity of the situation.
 
More on tonight's @NoSpinNews. Watch free on https://t.co/g82M2n2kN3 – or commercial-free &amp; on-demand https://t.co/rryWmzeOZa.","Mississippi"
78,"Clark County election officials accepted one person’s signature eight times | Las Vegas Review-Journal https://t.co/2S1TLzmgch","Mississippi"
79,"The coup isn’t happening.

Trump lost the election, lost his legal challenges, and lost the GOP state legislatures. 

It’s over. Joe Biden will be the next President.
https://t.co/MpNQg9SpZC","Mississippi"
80,"B-I-N-G-O, President Elect!!!

Georgia voters are being cheated. GA election was  unlawful &amp; present recount is a fraud.

Let the corrupt GA Republican Governor @BrianKempGA &amp; @GaSecofState know in no uncertain terms that you will not tolerate their shenanigans.

Be relentless. https://t.co/3f36z6vX8T","Mississippi"
81,"In 2012, Obama set an all-time record low for the number of counties won in a presidential election with 689.
Biden won only 477 counties, but supposedly had 9 million more votes.
Republicans didn't lose a House seat this year and picked up 12.
Blue mirage?","Mississippi"
82,"Hmmm, in 2017 it was a hijack, in 2020 it is just accept it.","Mississippi"
83,"@realDonaldTrump People are not going to stand for having a lazy, ignorant, racist, misogynist, criminal squatter in the White House, because YOU LOST THE ELECTION, and many other reasons! https://t.co/9lHHR7ucPw","Mississippi"
84,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
85,"Agreed","Mississippi"
86,"After being on a conference call this evening with Trump Campaign Mgr. Bill Stepien, Rep. Doug Collins, and other key players, I feel good about the President's re-election.","Mississippi"
87,"Give the word.","Mississippi"
88,"@realDonaldTrump Donald Trump has the backing of the people, now the GOP must do what is right and FIGHT for him against ANY illegal election practices.","Mississippi"
89,"@govkristinoem @sfstampede Donald Trump has the backing of the people, now the GOP must do what is right and FIGHT for him against ANY illegal election practices.","Mississippi"
90,"@DonaldJTrumpJr Donald Trump has the backing of the people, now the GOP must do what is right and FIGHT for him against ANY illegal election practices.","Mississippi"
91,"@kylenabecker Professor Matt Blaze: Election systems need to both minimize risk &amp; double-check election results w paper ballots after every election

Dominion Spokesperson Kay Stimson: Impossible to make machines that can be expected to withstand a full-fledged attack
https://t.co/JeVhabI3TQ","Mississippi"
92,"@kylenabecker Professor Matt Blaze: Election systems need to both minimize risk &amp; double-check election results w paper ballots after every election

Dominion Spokesperson Kay Stimson: Impossible to make machines that can be expected to withstand a full-fledged attack
https://t.co/JeVhabI3TQ","Mississippi"
93,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
94,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Mississippi"
95,"Democratic senators warned of potential 'vote switching' by Dominion voting machines prior to 2020 election 

Experts in Texas too

https://t.co/8QSvG5JNcP from @AndyMarkMiller for @dcexaminer","Mississippi"
96,"So I have to carry around proof that I took the vaccine to go to a concert but I don’t need an ID to vote in an election?","Mississippi"
97,"He had our back!!

https://t.co/H0FW4W3g7V

⬇️⬇️ The EO ⬇️⬇️","Mississippi"
98,"Indeed we have, sir!

BTW, Thank you for 220 judges, 3 USSC Justices &amp; this ⬇️⬇️⬇️⬇️

https://t.co/Trzi9Aqjz1

#WeLoveYouTrump 

🇺🇸 https://t.co/ubybmu3YQX","Mississippi"
99,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
100,"Beautiful Rally! MAGA!","Mississippi"
101,"If your march is only made up of white supremacists, Proud Boys, and Alex Jones, it's pretty clear why you lost the election.

#MillionMAGAMarch","Mississippi"
102,"Thank you sir!!!","Mississippi"
103,"Yep","Mississippi"
104,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff.","Mississippi"
105,"@Jim_Jordan The US DHS confirms the election was secure. Joe Biden was lawfully elected President. Honesty and integrity will be returned to America’s government on January 20. There is nothing you can do to stop it.","Mississippi"
106,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Mississippi"
107,"Georgia Legislature must step in and order a real canvass. Secretary of State’s continuing failure to protect citizens of Georgia’s right to honest election requires legislature intervening as U S Constitution provides","Mississippi"
108,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","Mississippi"
109,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Mississippi"
110,"טראמפ טוען למאות אלפי מפגינים. איפה שון ספייסר שיסביר?","Mississippi"
111,"Amen","Mississippi"
112,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","Mississippi"
113,"Must-read from ⁦@KimStrassel⁩. 

Pelosi and the Democrats used COVID-justified chaos as a legal excuse to rig the election in certain states, implementing massive changes to our voting system. The future of American elections will be changed forever. https://t.co/3jsirDpMmn","Mississippi"
114,"Pelosi on Election Day: ""Democrats are poised to further strengthen our majority.""

Pelosi today: ""I never said that we were going to pick up"" seats. https://t.co/6s14zfA3LO","Mississippi"
115,"NEW: How a post-election crisis was manufactured in Pennsylvania, where Republicans refused to let local officials process mail ballots before Election Day. This gave Trump a huge ""red mirage"" that he used to falsely claim victory and spread disinformation https://t.co/FzpsbsnhJS https://t.co/W5gkF56cCK","Mississippi"
116,"They said the actual VOTERS rigged the election?? 🤔🤔 or did they say “democrats rigged the election” ??","Mississippi"
117,"Bye bye #Pelosi don't worry we'll see you again on closed caption at #gitmo

#GITMOCANHOLDThemALL 
#MillionMAGAMarch2020","Mississippi"
118,"@realDonaldTrump Release the kraken! fight back America.  Don't let them steal the election.

#MillionMAGAMarch #MAGAMillionMarch #MillionMAGAMarch2020 
#StopTheSteaI","Mississippi"
119,"At some point Twitter really needs to just suspend Trump's account.

This is insane and inciting the Trump crazies will not lead to anything good. https://t.co/i1d6bdV01Q","Mississippi"
120,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
121,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
122,"A bunch of trouble-seeking extremists congregating in D.C., at the urging of the president of the United States.
The president continues to spread conspiracy theories delegitimizing the election.
The president planning more wildly irresponsible personnel moves.
I remain alarmed.","Mississippi"
123,"Amazing that in a small town each GOP candidate picked up almost 300 votes during the recount.","Mississippi"
124,"Our team is working around the clock to make sure every LEGALLY cast ballot is counted.
 
We need YOU to help us have the resources to FIGHT BACK against potential voter fraud.
 
Donate to the fight here⬇️
https://t.co/T2FisWyr2d","Mississippi"
125,"Hahahahaha! https://t.co/EkxbokI5zX","Mississippi"
126,"Look at this tweet from Trump.","Mississippi"
127,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Mississippi"
128,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Mississippi"
129,"Take that L, pollsters, and learn to code. https://t.co/0r1ztnCe3k","Mississippi"
130,"Coup danger receding.

#TrumpFacesReality","Mississippi"
131,"@ArtmanJanet People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
132,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
133,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
134,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
135,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
136,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
137,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
138,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
139,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
140,"@LiberatedCit People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Mississippi"
