"tweet","text","location"
1,"President Trump won this election in a landslide! Too bad we didn’t get to see the real results on election night. I have a feeling we will soon. #ReleaseTheKracken","South Dakota"
2,"Read all about Dominion and Smartmatic voting companies and you’ll soon understand how pervasive this Democrat electoral fraud is, and why there’s no way in the world the 2020 Presidential election was either free or fair. #MAGA @realDonaldTrump #AmericaFirst #Dobbs https://t.co/H38VvuvSUQ","South Dakota"
3,"BOMBSHELL: The 2020 election took place under a Trump-declared “National Emergency” that set an Election Day trap for the “unauthorized accessing of election and campaign infrastructure” https://t.co/QTGqMi6Nll","South Dakota"
4,"As Trump ran on a platform of ""law and order,"" his inner circle was violating the law at every turn in an attempt to boost his re-election chances
https://t.co/8bywJPy1SB","South Dakota"
5,"There's going to be a general election within six months.","South Dakota"
6,"Nikki Haley bashes Twitter for flagging election tweet but allowing Iranian leader’s Holocaust denial https://t.co/TjaGVyMsgu","South Dakota"
7,"That was before the election! Ballet harvesting(?)","South Dakota"
8,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","South Dakota"
9,"3. That’s why you litigate these cases.
https://t.co/OxDEh3JkmG","South Dakota"
10,"The American People will win the war on this election fraud as Trump and Team are fighting!  Legal votes only, illegal votes discard.  Very easy, let's say it again:  LEGAL VOTES ONLY, ILLEGAL VOTES DISCARD!  Please retweet for our Democratic friends to take note...THANK YOU!","South Dakota"
11,"3 whistleblowers from Dominion now?","South Dakota"
12,"All these idiots in DC are screaming about how Trump will NEVER stop fighting for them and for the election. Meanwhile, he's in Virginia using their money to play a round of golf.","South Dakota"
13,"South Korea
Population: 51 million
COVID deaths: 492

South Dakota
Population: 0.88 million
COVID deaths: 568","South Dakota"
14,"In this article &amp; read every word, @molmccann addresses reality and is brutally honest. She is brilliant &amp; an American Patriot.

God bless @noreenmccann101 

@SidneyPowell1 
@EagleEdMartin 
@BorisEP 
@RudyGiuliani 
@marklevinshow 
@RealRLimbaugh","South Dakota"
15,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","South Dakota"
16,"READ: ‘The Sleight of Hand Election of 2020’ https://t.co/wOhJ6L8zAD","South Dakota"
17,"TRUMP: 'Never bet against me' - It will take 2-3 weeks but we're going to win Arizona, Georgia, North Carolina, Pennsylvania &amp; Wisconsin and the White House.

https://t.co/j2fA7orNbw","South Dakota"
18,"@pompyandstance @JesseKellyDC @FBI He knows more than you do. 

https://t.co/EsqhDXb8qG","South Dakota"
19,"Great news, Georgia! You’re voting again soon! Request your absentee ballot now to get it in time for the holidays. Because this year’s hottest gift is Representative Democracy! #BetterKnowABallot","South Dakota"
20,"than why is that the exact amount he has gained on google: us election results?
🤔😂","South Dakota"
21,"@violetasiii despite the death  threats from antifa anarchists and left wing Democrats the K-pop foreigners. andvradical Chinese CCP aligned anti American  
@tedlieu
 #MarchForTrump was a huge success and brought out patriots to call out bogus election and theft","South Dakota"
22,"I wish more people post smart comments like yours.","South Dakota"
23,"@mmpadellan Exactly! The people that are claiming that the election was stolen, are the people trying to actually steal the election. Craziness!","South Dakota"
24,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","South Dakota"
25,"If @SpeakerPelosi truly believed this she should have asked for audits of the states in question 🦗The Russia angle was brought in by the democrats as a bait and switch.@AdamSchiff promised he had evidence and stirred the pot , all of which was false . He needs held accountable","South Dakota"
26,"RIGGED!","South Dakota"
27,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","South Dakota"
28,"PA Election Analysis: HUGE Anomalies &amp; Indisputable Data | https://t.co/2Ls29SBRtf https://t.co/7ehJDZqC2e","South Dakota"
29,"Election Witnesses: Kanye’s Michigan Votes Were Stolen by Joe Biden via @gatewaypundit https://t.co/gPA6gK2IMJ","South Dakota"
30,"@DLoesch All you people in these comments pretending this is ok, are the reason why Biden had to steal this election. There are not enough of you fortunately, but yet you degenerate this country allowing for things like this to happen and excusing crime while touting unity and acceptance","South Dakota"
31,"EXCLUSIVE! What’s Really Going On With Arizona’s Election? State Senator... https://t.co/S2IVdIrYuY via @YouTube","South Dakota"
32,"@irenecrist @RealJamesWoods Are they really?  ABC, CBS, NBC, Fox none of which are  “Republican” You do know they all called election before votes were finished being counted. Looks like they’re pro Biden to me... https://t.co/BU6G4lAO9x","South Dakota"
33,"BOOM!","South Dakota"
34,"https://t.co/wrtDU55mJn https://t.co/Vf960Lo8ol","South Dakota"
35,"BLM - terrorist organization

Antifa - terrorist organization

Democrats - terrorist organization

If @JoeBiden @SenKamalaHarris &amp; the democrats are allowed to steal the election this will be everyday life.  

Not going to happen!  #ReleaseTheKraken 
#StopTheSteaI 
🇺🇸🇺🇸🇺🇸🇺🇸","South Dakota"
36,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","South Dakota"
37,"@SunflowerSoul71 She and I blocked each other on election day after a 30+ year friendship. These are the women HRC warned us would vote how their husbands tell them to.","South Dakota"
38,"Former President Obama says President Trump's baseless election fraud claims put democracy on a ""dangerous path""  https://t.co/es1qZFKCwv","South Dakota"
39,"Exactly. For more than 4 years, FBI, Dems, &amp; press have tried to disenfranchise Trump voters. The idea half the country should fold because media that targeted Trump since 2016 says so is a sinister joke. Head up, chin down, move forward Team America. The rest of you, suck eggs.","South Dakota"
40,"These Infectious Contagious Assholes Spreading COVID-19 💩💩💩💩💩💩💩💩💩💩💩💩A week after loss, Trump supporters march in Washington to support false election claims https://t.co/OOhc4yotyU","South Dakota"
41,"Don't worry, USA Today already wrote a story about the DC events today. Despite what you may have seen with your own very eyes, Antifa was peaceful and there was only a few ""fights"" between the groups. Also Trump guys no wear masks and won't accept the election. Orange group bad! https://t.co/USJFdg4z7w https://t.co/JWp0zYBvJz","South Dakota"
42,"@GrossmanToni @tnacgal @LindseyGrahamSC @TomCottonAR @Jim_Jordan @replouiegohmert @VP @DevinNunes ""They're stunned we don't accept an illegal election, illegal votes.
Time to make them stand for only legal votes #AuditTheVote &amp; stand for President Trump. ""We the People"" pay their salaries. DEMAND verified signatures &amp; Republican Poll Watchers allowed to view each ballot.""","South Dakota"
43,"This math explains how Trumpites misunderstood the election results. https://t.co/OEZfA7kX3R","South Dakota"
44,"88% of the missing children in South Dakota are Native. That’s systemic. That’s racism.","South Dakota"
45,"Lawyers for the Trump campaign have dropped a lawsuit seeking a review of all ballots cast in Arizona on Election Day after realizing the result in the state couldn't be overcome https://t.co/XsCXhwpSkl","South Dakota"
46,"Trump spreads baseless claim about Dominion Voting Systems after losing election https://t.co/DjljFwwnrp","South Dakota"
47,"Trump supporters gather for “Million MAGA March” in Washington, D.C. to protest election results https://t.co/FcZ69rwQvM https://t.co/pkBl5CBtNk","South Dakota"
48,"South Korea
Population: 51 million
COVID deaths: 492

South Dakota
Population: 0.88 million
COVID deaths: 568","South Dakota"
49,"Would you like to read a point-by-point rejection of election fraud allegations in Michigan, showing why they're not credible? 
That exists now, from a judge. 

Read it here: https://t.co/wnM4WRAbMM","South Dakota"
50,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff.","South Dakota"
51,"Barack Obama was the MOST CORRUPT president in US history. 
I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","South Dakota"
52,"Not one vehicle, building, or historic monument was damaged in Washington, D.C. today while hundreds of thousands of Trump supporters on the ground protested the election results.. 

That’s how it’s done America!","South Dakota"
53,"Trump has access to the highest levels of top secret intelligence

If he says there was election fraud, there was election fraud","South Dakota"
54,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","South Dakota"
55,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","South Dakota"
56,"@culttture @thecjpearson Hitler’s Germany had Jewish Nazis, as ridiculous as that sounds. That’s what you are, a black klansman. The people decide , not you. You are the minority. You lost the election.","South Dakota"
