"tweet","text","location"
1,"Rogue Citizens Election Fraud, 
Rogue IT Person, An Devote Partisan Fraudsters.

Digging Deeper Will Just Have A Microscope Shoved Up Our Arse By Every Other Country That Has Been Thru Questionable Regime Change, Right Now Microscopes Shoved Up Allot Of Arse
An 🌍👁🌎👁🌏Scary.","Arkansas"
2,"Bye bye Biden https://t.co/ygcaCwHPgC","Arkansas"
3,"@realDonaldTrump Trump is broke and afraid of going to jail. But that's his personal problem he needs to deal with. 

What matters most to majority of Americans is that Trump lost the election and he will go.","Arkansas"
4,"@realDonaldTrump ""306 to 223 -- that's a pretty good shellacking.""
-- trump, bragging about his 2016 election ""win""

YOU WERE SHELLACKED.

YOU ARE THE BIGLIEST LOSER.","Arkansas"
5,"PATRIOTS-WE NEED YOU! 
RALLY Sunday morning in DC to fight for the truth in this election!!! BE THERE!!! Even if you can not be there- PLZ HELP us raise $15K to cover costs (sound/security/flights/hotels/permitting) of this event. DONATE/REGISTER:
https://t.co/tcJSKI4d0i","Arkansas"
6,"BREAKING: #TrumanBlack Has Created A Computer Script That Combs Thru All The Election Data &amp; Identifies Votes That:
""SWITCHED"" FROM #TRUMP TO #BIDEN
&amp; Votes ""LOST"" That Disappeared!
Data Shows ALL SWITCHED Votes WERE TAKEN FROM TRUMP &amp; GIVEN TO BIDEN!
Site:https://t.co/kZBtfnHajR https://t.co/4GFFWV6x1F","Arkansas"
7,"ANOTHER LOSS: Michigan judge rejects GOP request to block certification of Detroit election results. Judge said GOP allegations of misconduct ""not credible.""

Biden leads Trump by 148,000 votes in Michigan.

https://t.co/GYoFTG2HlY","Arkansas"
8,"PROOF! Someone tested the signature verification system in Clark County and it had a 89% failure rate for catching poor signature matches. We have raised concerns about the signature verification system for months. 100s of thousands of mail ballots here. 

https://t.co/zF0prCP8lk","Arkansas"
9,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","Arkansas"
10,"One of the biggest stories to come out of this election is how unified Republicans now are. We refuse to yield and we simply don’t believe their b*llsh*t any more","Arkansas"
11,"We at @OANN have witnessed and reported on so much of that support and look forward to covering Saturday’s big rally in DC! 

See you all out there!","Arkansas"
12,"@realDonaldTrump 
We love YOU
#Voterfraud 
#RecountTheVote","Arkansas"
13,"Georgia stands between America and socialism.

https://t.co/CjjQxsQr3S","Arkansas"
14,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Arkansas"
15,"Oh my, and the media is telling you what? Keep watching your fake news....old habits are hard to break, but it's a different world when a talking head on tv isn't leafing you around with ignorance","Arkansas"
16,"Fitton: 2020 Election Update https://t.co/rLgZ6xWGDE via @BreitbartNews","Arkansas"
17,"So, if Trey Trainor, the Chairman of the Federal Election Commission, says voter fraud is taking place, a) why is this not being covered, and b) why is Twitter calling allegations of fraud “disputed? “ https://t.co/Up4BGqKS2m","Arkansas"
18,"@realDonaldTrump Seems real suspicious. Six states? All contentious flip after a week? NY, Texas, California all with much larger population had there shit together on Election Day. History will know this is fishy.","Arkansas"
19,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Arkansas"
